"Iteration: Iteration","DF B Mean Monitor: Statistics of DF B Monitor (N)","DF D Mean Monitor: Statistics of DF D Monitor (N)","DF FW Mean Monitor: Statistics of DF FW Monitor (N)","DF RW Mean Monitor: Statistics of DF RW Monitor (N)","DF S Mean Monitor: Statistics of DF S Monitor (N)","DF SU Monitor: Force (N)","DF Wheels Front Mean Monitor: Statistics of DF Wheels Front Monitor (N)","DF Wheels Rear Mean Monitor: Statistics of DF Wheels Rear Monitor (N)","Mean DF Monitor: Statistics of Downforce Monitor (N)"
130,1.84725037164666,47.6813540787661,80.8290477803639,115.708805775602,69.8254538409699,-0.551057508977265,-4.00059076456817,-3.22541682502711,308.193596226478
131,1.81039405931068,47.6531852957658,80.8753425154708,115.623227798821,69.6606001920038,-0.604506376438377,-3.98543296302768,-3.22126149313021,307.942738226266
132,1.77529874138957,47.6230318702475,80.9215724208835,115.537955157694,69.4977440031502,-0.655868880855388,-3.97043877485387,-3.21754349454085,307.692919777583
133,1.74198583436676,47.5895114680253,80.9680038611945,115.45264420713,69.3364804035118,-0.74121148300911,-3.9555268988852,-3.2144041016091,307.441990782711
134,1.7096214570838,47.5534805141946,81.0142457060525,115.367862740643,69.1768212491196,-0.806083095349066,-3.94075696858657,-3.21162665470361,307.190485999762
135,1.67786219420676,47.5134561832388,81.0604664516534,115.283452239849,69.0181515426746,-0.897889868062893,-3.92611919162078,-3.20932602721097,306.935679661165
136,1.64605980390644,47.4695117346846,81.1064844817935,115.199691446269,68.8603673428437,-0.967035834156997,-3.91163961102909,-3.20744013438427,306.677206831704
137,1.61400825657883,47.4231712879373,81.1520966675658,115.11684390696,68.7038417060859,-1.01020520650251,-3.89725148299847,-3.20579119036189,306.417263350233
138,1.58125326577048,47.3727105391285,81.197346545018,115.034825232846,68.5479507672198,-1.0539005397127,-3.88286640174907,-3.20445199224753,306.153023424465
139,1.5477866683238,47.3186794679706,81.242169812786,114.953812251579,68.3927835119099,-1.06372702256404,-3.86856190801766,-3.20332274620455,305.885501933366
140,1.51384482522029,47.2616255394377,81.2865520345204,114.873838923089,68.2383915899362,-1.04668297252797,-3.85433869960159,-3.20235331840715,305.615795498873
141,1.47974976540603,47.2023345158934,81.3304874874364,114.794839056443,68.085030519084,-1.00407913029589,-3.84018732433517,-3.20147565101085,305.345450464837
142,1.44599823611889,47.1416100427093,81.3740326933442,114.71669399425,67.9329662202732,-0.938373204853019,-3.82611785027375,-3.20061525822119,305.076190559327
143,1.41300459559972,47.0803394084691,81.4172062615605,114.639196564376,67.782248158419,-0.85289781337567,-3.81208911489283,-3.19978181426326,304.809337307566
144,1.38140426450845,47.0192375663181,81.4601092373657,114.562141274477,67.6332256931104,-0.755311045107602,-3.79809906250601,-3.19893085508624,304.546603281114
145,1.35160600669396,46.9589187510455,81.5027764857497,114.485297357862,67.4861753844968,-0.649432280360339,-3.78409849143856,-3.19808307507626,304.289163117134
146,1.32389022776056,46.8997930864171,81.5453321084511,114.408618205572,67.3411361693789,-0.544977247229873,-3.77002926165261,-3.19718976318968,304.037905388722
147,1.29853800768742,46.8421800507894,81.5878176202593,114.331985440605,67.1983571941044,-0.448545214480726,-3.75589006666504,-3.19620268105376,303.793583040007
148,1.27536946132124,46.7862636333869,81.6302309265214,114.255368082829,67.057814474448,-0.367760029134022,-3.74166126671466,-3.19511398390818,303.556051521736
149,1.25406542238579,46.7319784964953,81.6725678826953,114.178785141595,66.9195761681144,-0.308381817583488,-3.72734038128199,-3.19388673043978,303.324894233608
150,1.2343704972096,46.6793235120204,81.7148313181894,114.102276900068,66.7836841036626,-0.272863433429906,-3.71297013186303,-3.19248280483016,303.099768217384
151,1.21586365096591,46.6282237198681,81.7569984287393,114.025898202645,66.6501115181113,-0.265210718227387,-3.69853903154524,-3.19089813882932,302.880009427577
152,1.19807005225814,46.5785483950535,81.7990357494997,113.949832036135,66.5188601674279,-0.283522236812916,-3.68406421852954,-3.18913360519304,302.664974171942
153,1.18045066432037,46.5300371242961,81.8409068224878,113.874212209918,66.3898614293281,-0.324811245536813,-3.66962192837848,-3.18719392752748,302.45366336986
154,1.1625479383883,46.4824170142298,81.8825109610914,113.799210434238,66.2630583465822,-0.384025508819743,-3.65525376720195,-3.18512726403484,302.245160116083
155,1.14391786833813,46.4353560299861,81.9237471507629,113.724951589008,66.1383131682033,-0.454247254950491,-3.64100481330193,-3.18296811946622,302.038431624981
156,1.12428865903671,46.3886643737237,81.9645166715869,113.651591003309,66.0153360245262,-0.525927307146048,-3.62689606280403,-3.18076362341636,301.832714476524
